subscriber_id,cluster_idx,cluster_label,primary_distance,secondary_distance,confidence,overlays,dist_Voice-centric,dist_Underutilized / overspending,dist_Streaming & data-heavy,dist_Light / occasional user,dist_Roaming / travel-heavy,data_trend,voice_trend,roaming_trend,lines_trend
SUB00001,3,Light / occasional user,1.9509407833812125,4.245030889952023,High,Data appetite growing,4.245030889952023,5.821294095112826,5.985286991661541,1.9509407833812125,6.194092935468484,0.46580025645790235,0.2778737085749438,0.1048726629852936,0.0
SUB00002,2,Streaming & data-heavy,1.4185127577950558,4.409139566768319,High,Data appetite growing,5.902431220325095,4.409139566768319,1.4185127577950558,5.1894169897585,6.317034912616999,0.8107372570234225,5.747570822124259,0.017994238429191078,0.0032849116498798415
SUB00003,4,Roaming / travel-heavy,1.0926101961931147,5.352166528271969,High,Data appetite shrinking|Voice declining → data migration,6.147437617264325,5.352166528271969,6.013079837808146,6.0514990613609765,1.0926101961931147,-0.83970130079352,-6.910341864082437,-0.10485512523964027,-0.014142620947679293
SUB00004,0,Voice-centric,1.8907018082323122,4.163879507898282,High,Voice declining → data migration,1.8907018082323122,4.576291876738885,6.097852676393902,4.163879507898282,6.167443833886324,0.11148903356644735,-7.145616186353406,-0.054186457652813734,0.0
SUB00005,1,Underutilized / overspending,0.6120314368031807,3.684976325053978,High,Data appetite growing|Voice declining → data migration,4.151019342563372,0.6120314368031807,3.684976325053978,5.313432035086348,4.863102478883688,0.6934104511222737,-2.8276684507691714,-0.0944262717109698,0.01186740623490744
SUB00006,3,Light / occasional user,1.8872557156130554,4.002844918938521,High,Data appetite growing,4.002844918938521,5.487164401826009,5.683976887398207,1.8872557156130554,5.987642392878509,0.7731349351453131,1.9357579658753374,-0.016728146264207253,-0.021703895230909265
SUB00007,2,Streaming & data-heavy,1.3563592556019826,3.8266580405491775,High,,6.486074924613839,3.8266580405491775,1.3563592556019826,6.580166108955862,5.519988800780556,-0.11665356248629881,3.411591721630256,0.1436503086423575,0.0135498287331455
SUB00008,3,Light / occasional user,0.604519693559485,3.8568062541373154,High,,3.8568062541373154,5.481993198321223,5.727623706093737,0.604519693559485,5.884917160307878,0.1130944498479827,-0.0559693707105123,0.07703013980221579,0.0
SUB00009,2,Streaming & data-heavy,1.5357041154558533,4.296362042073658,High,Data appetite growing|Voice declining → data migration,5.767652271718755,4.296362042073658,1.5357041154558533,5.0562916157551525,6.01212616930409,0.4252545046566446,-2.750125893197967,0.1953697984476074,0.02708779788506844
SUB00010,4,Roaming / travel-heavy,0.8251623655691288,5.326950397843768,High,Data appetite growing|Voice declining → data migration,6.27565109727161,5.326950397843768,6.027619110627592,6.210347157389316,0.8251623655691288,0.15029221506000365,-1.4896953081620083,-0.08196795965537029,-0.04693481767823078
SUB00011,0,Voice-centric,0.37882805661396796,3.5273257671368645,High,Voice declining → data migration,0.37882805661396796,4.3595147258594595,5.875378682012735,3.5273257671368645,5.8042073005698125,-0.09758538108590774,-3.3018837303051747,0.12433530725696483,0.0
SUB00012,1,Underutilized / overspending,1.5119616493681765,3.6424493864195133,High,Data appetite growing|Voice declining → data migration,4.316009380908061,1.5119616493681765,3.6424493864195133,5.269471396868698,4.907027722883181,0.7623454938396863,-0.740036697202773,-0.02062483496370596,-0.012654240004914536
SUB00013,3,Light / occasional user,1.5524195172551811,3.855826731828257,High,Data appetite shrinking|Voice declining → data migration,3.855826731828257,5.349645924039799,5.706766498755919,1.5524195172551811,5.756716056499968,-0.2934612691847639,-1.3571406085359294,0.08968354225526379,0.012925040632651562
SUB00014,2,Streaming & data-heavy,1.356546277102788,3.461613159421911,High,Data appetite shrinking,6.234093270087079,3.461613159421911,1.356546277102788,6.3958513677028455,5.295775657326779,-0.27922785495008967,11.40761265642119,-0.02433450666332086,0.03145236636311373
SUB00015,3,Light / occasional user,0.8643805226723602,3.992996718027734,High,Data appetite growing,3.992996718027734,5.611022657779183,5.738689155430489,0.8643805226723602,5.996738891406658,0.651574237633806,2.3555867265232098,-0.016783612862125236,0.0
SUB00016,2,Streaming & data-heavy,1.7700853550600908,4.4652232068749385,High,Data appetite growing,5.760228176507679,4.4652232068749385,1.7700853550600908,5.0342410105284126,6.182383802181068,0.8107201470333583,5.230492334842831,0.05655577823792815,0.025806583881697452
SUB00017,4,Roaming / travel-heavy,1.5452960471860755,5.207605648806683,High,Data appetite shrinking|Voice declining → data migration,6.162979164429475,5.207605648806683,6.15117904040996,6.193911554471808,1.5452960471860755,-0.6644896411771141,-7.206637337429215,-0.003997764990819123,0.0023100413049108783
SUB00018,0,Voice-centric,1.039338602736288,3.885013306095052,High,Data appetite shrinking|Voice declining → data migration|Roaming increasing,1.039338602736288,4.148856656350791,5.882407380704081,3.885013306095052,5.740833327036564,-0.7612102926269139,-2.0561959811065837,0.21152926088559848,0.0
SUB00019,1,Underutilized / overspending,0.5690461281597169,4.043811730672878,High,Data appetite shrinking|Voice declining → data migration,4.343990253155876,0.5690461281597169,4.043811730672878,5.681724738155297,4.938641228086029,-0.16126648875590982,-2.4624365175059792,0.10655263179805773,0.013442126066209042
SUB00020,3,Light / occasional user,0.41055388049032615,3.55778008953777,High,Data appetite growing,3.55778008953777,5.160084715055755,5.468943023126986,0.41055388049032615,5.744986923739081,0.6290374012373474,1.020594828952486,-0.06773742519560422,-0.01659245609912208
